index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division,web_source,rank,school,conference,road,neutral,home,non_div_i,champ_%_rank,pr,sos-pr,qwf-pr,champ_%,sos-rpi,qwf-rpi,selection,champion_%
,Stanford ( 2 - 8 ),,69.0,,,,,,,,,,boys,D1,laxmath,63.0,,,,,,,,61.0,54.0,67.0,,67.0,67.0,203.0,0 . 0 %
,Tennessee ( 9 - 6 ),,25.0,,,,,,,,,,boys,D1,laxmath,64.0,,,,,,,,35.0,39.0,28.0,,33.0,29.0,87.0,0 . 0 %
,Texas A&M ( 7 - 7 ),,42.0,,,,,,,,,,boys,D1,laxmath,65.0,,,,,,,,43.0,59.0,58.0,,29.0,55.0,126.0,0 . 0 %
,Texas Christian ( 6 - 6 ),,28.0,,,,,,,,,,boys,D1,laxmath,66.0,,,,,,,,34.0,45.0,45.0,,16.0,41.0,85.0,0 . 0 %
,Texas State ( 4 - 9 ),,67.0,,,,,,,,,,boys,D1,laxmath,67.0,,,,,,,,71.0,61.0,72.0,,65.0,72.0,204.0,0 . 0 %
,Texas Tech ( 0 - 4 ),,70.0,,,,,,,,,,boys,D1,laxmath,68.0,,,,,,,,73.0,64.0,46.0,,53.0,46.0,169.0,0 . 0 %
,UCLA ( 3 - 10 ),,55.0,,,,,,,,,,boys,D1,laxmath,69.0,,,,,,,,49.0,24.0,61.0,,45.0,61.0,161.0,0 . 0 %
,Vanderbilt ( 3 - 7 ),,50.0,,,,,,,,,,boys,D1,laxmath,70.0,,,,,,,,58.0,36.0,42.0,,20.0,42.0,112.0,0 . 0 %
,Washington ( 5 - 7 ),,48.0,,,,,,,,,,boys,D1,laxmath,71.0,,,,,,,,45.0,33.0,54.0,,46.0,58.0,152.0,0 . 0 %
,Washington State ( 3 - 9 ),,73.0,,,,,,,,,,boys,D1,laxmath,72.0,,,,,,,,72.0,62.0,65.0,,73.0,68.0,214.0,0 . 0 %
,Western Michigan ( 3 - 10 ),,60.0,,,,,,,,,,boys,D1,laxmath,73.0,,,,,,,,55.0,55.0,70.0,,47.0,70.0,177.0,0 . 0 %
,Reinhardt ( 11 - 0 ),,2.0,,,,,,,,,,boys,,laxmath,,,,,,,,1.0,1.0,13.0,2.0,32 . 0 %,14.0,2.0,18.0,
,Keiser ( 12 - 1 ),,1.0,,,,,,,,,,boys,,laxmath,,,,,,,,2.0,2.0,2.0,1.0,24 . 50 %,2.0,1.0,4.0,
,Webber International ( 12 - 2 ),,3.0,,,,,,,,,,boys,,laxmath,,,,,,,,3.0,3.0,6.0,3.0,15 . 50 %,21.0,3.0,27.0,
,Cumberlands ( 11 - 3 ),,4.0,,,,,,,,,,boys,,laxmath,,,,,,,,4.0,6.0,4.0,4.0,8 . 0 %,3.0,4.0,11.0,
,William Penn ( 14 - 1 ),,8.0,,,,,,,,,,boys,,laxmath,,,,,,,,5.0,4.0,25.0,5.0,6 . 50 %,17.0,5.0,30.0,
,Concordia-Ann Arbor ( 10 - 3 ),,5.0,,,,,,,,,,boys,,laxmath,,,,,,,,6.0,5.0,14.0,6.0,5 . 0 %,19.0,6.0,30.0,
,Indiana Tech ( 5 - 6 ),,7.0,,,,,,,,,,boys,,laxmath,,,,,,,,7.0,7.0,1.0,11.0,3 . 0 %,5.0,10.0,22.0,
,Aquinas ( 9 - 1 ),,6.0,,,,,,,,,,boys,,laxmath,,,,,,,,8.0,8.0,16.0,7.0,2 . 0 %,24.0,7.0,37.0,
,Madonna ( 8 - 5 ),,10.0,,,,,,,,,,boys,,laxmath,,,,,,,,9.0,9.0,9.0,9.0,1 . 50 %,13.0,9.0,32.0,
,Ottawa ( 6 - 6 ),,13.0,,,,,,,,,,boys,,laxmath,,,,,,,,10.0,15.0,20.0,13.0,0 . 0 %,8.0,13.0,34.0,
,SCAD ( 8 - 5 ),,9.0,,,,,,,,,,boys,,laxmath,,,,,,,,11.0,10.0,7.0,8.0,0 . 0 %,9.0,8.0,26.0,
,Siena Heights ( 5 - 7 ),,11.0,,,,,,,,,,boys,,laxmath,,,,,,,,12.0,14.0,10.0,12.0,0 . 0 %,10.0,12.0,33.0,
,Taylor ( 4 - 9 ),,19.0,,,,,,,,,,boys,,laxmath,,,,,,,,13.0,20.0,8.0,23.0,0 . 0 %,11.0,23.0,53.0,
,Benedictine (KS) ( 9 - 4 ),,14.0,,,,,,,,,,boys,,laxmath,,,,,,,,14.0,19.0,26.0,10.0,0 . 0 %,20.0,11.0,45.0,
,Clarke ( 4 - 7 ),,27.0,,,,,,,,,,boys,,laxmath,,,,,,,,15.0,26.0,29.0,24.0,0 . 0 %,29.0,24.0,80.0,
,Columbia (MO) ( 3 - 8 ),,24.0,,,,,,,,,,boys,,laxmath,,,,,,,,16.0,22.0,18.0,22.0,0 . 0 %,18.0,22.0,64.0,
,Lawrence Tech ( 3 - 6 ),,12.0,,,,,,,,,,boys,,laxmath,,,,,,,,17.0,17.0,5.0,16.0,0 . 0 %,6.0,14.0,32.0,
,Life University ( 4 - 6 ),,16.0,,,,,,,,,,boys,,laxmath,,,,,,,,18.0,12.0,11.0,17.0,0 . 0 %,4.0,15.0,35.0,
,Lourdes ( 4 - 6 ),,22.0,,,,,,,,,,boys,,laxmath,,,,,,,,19.0,21.0,21.0,21.0,0 . 0 %,23.0,21.0,66.0,
,Midland ( 1 - 11 ),,28.0,,,,,,,,,,boys,,laxmath,,,,,,,,20.0,27.0,23.0,29.0,0 . 0 %,27.0,29.0,84.0,
,Missouri Baptist ( 4 - 11 ),,23.0,,,,,,,,,,boys,,laxmath,,,,,,,,21.0,24.0,15.0,28.0,0 . 0 %,7.0,26.0,56.0,
,Missouri Valley ( 0 - 7 ),,29.0,,,,,,,,,,boys,,laxmath,,,,,,,,22.0,29.0,24.0,26.0,0 . 0 %,26.0,27.0,82.0,
,Montreat ( 1 - 13 ),,25.0,,,,,,,,,,boys,,laxmath,,,,,,,,23.0,25.0,17.0,25.0,0 . 0 %,1.0,25.0,51.0,
,Mount Vernon Nazarene ( 9 - 4 ),,21.0,,,,,,,,,,boys,,laxmath,,,,,,,,24.0,23.0,28.0,18.0,0 . 0 %,28.0,16.0,65.0,
,Point ( 5 - 9 ),,17.0,,,,,,,,,,boys,,laxmath,,,,,,,,25.0,11.0,27.0,19.0,0 . 0 %,12.0,18.0,47.0,
,St Ambrose ( 7 - 6 ),,18.0,,,,,,,,,,boys,,laxmath,,,,,,,,26.0,16.0,22.0,14.0,0 . 0 %,15.0,17.0,50.0,
,St Mary (KS) ( 2 - 10 ),,26.0,,,,,,,,,,boys,,laxmath,,,,,,,,27.0,28.0,19.0,27.0,0 . 0 %,16.0,28.0,70.0,
,Tennessee Wesleyan ( 4 - 9 ),,15.0,,,,,,,,,,boys,,laxmath,,,,,,,,28.0,13.0,3.0,15.0,0 . 0 %,25.0,19.0,59.0,
,UM-Dearborn ( 4 - 7 ),,20.0,,,,,,,,,,boys,,laxmath,,,,,,,,29.0,18.0,12.0,20.0,0 . 0 %,22.0,20.0,62.0,
,St. Thomas ( 14 - 3 ),,2.0,,,,,,,,,,boys,D2,laxmath,1.0,,,,,,,,1.0,3.0,1.0,,2.0,3.0,7.0,20 . 0 %
,Cal State San Marcos ( 17 - 2 ),,3.0,,,,,,,,,,boys,D2,laxmath,2.0,,,,,,,,2.0,38.0,2.0,,19.0,1.0,23.0,12 . 0 %
,Grand Valley State ( 10 - 4 ),,6.0,,,,,,,,,,boys,D2,laxmath,3.0,,,,,,,,7.0,6.0,11.0,,9.0,10.0,25.0,9 . 50 %
,Montana State ( 14 - 3 ),,7.0,,,,,,,,,,boys,D2,laxmath,4.0,,,,,,,,3.0,16.0,6.0,,6.0,4.0,17.0,8 . 0 %
,Montana ( 17 - 3 ),,1.0,,,,,,,,,,boys,D2,laxmath,5.0,,,,,,,,5.0,22.0,3.0,,1.0,2.0,4.0,7 . 50 %
,Air Force Academy ( 12 - 2 ),,4.0,,,,,,,,,,boys,D2,laxmath,6.0,,,,,,,,4.0,29.0,5.0,,16.0,5.0,25.0,7 . 0 %
,Kennesaw State ( 10 - 4 ),,14.0,,,,,,,,,,boys,D2,laxmath,7.0,,,,,,,,8.0,12.0,14.0,,18.0,17.0,49.0,5 . 0 %
,Missouri State ( 10 - 3 ),,12.0,,,,,,,,,,boys,D2,laxmath,8.0,,,,,,,,13.0,7.0,9.0,,10.0,11.0,33.0,4 . 50 %
,Dayton ( 13 - 5 ),,11.0,,,,,,,,,,boys,D2,laxmath,9.0,,,,,,,,6.0,5.0,4.0,,3.0,6.0,20.0,4 . 0 %
,Minn.-Duluth ( 5 - 8 ),,19.0,,,,,,,,,,boys,D2,laxmath,10.0,,,,,,,,12.0,1.0,27.0,,7.0,38.0,64.0,3 . 50 %
,UNC-Charlotte ( 11 - 3 ),,9.0,,,,,,,,,,boys,D2,laxmath,11.0,,,,,,,,14.0,21.0,8.0,,20.0,8.0,37.0,3 . 50 %
,Rhode Island ( 15 - 2 ),,8.0,,,,,,,,,,boys,D2,laxmath,12.0,,,,,,,,10.0,35.0,7.0,,72.0,7.0,87.0,2 . 50 %
,Florida Gulf Coast ( 10 - 2 ),,10.0,,,,,,,,,,boys,D2,laxmath,13.0,,,,,,,,9.0,10.0,10.0,,24.0,13.0,47.0,2 . 0 %
,Wake Forest ( 10 - 3 ),,13.0,,,,,,,,,,boys,D2,laxmath,14.0,,,,,,,,11.0,17.0,13.0,,17.0,16.0,46.0,2 . 0 %
,Florida Atlantic ( 6 - 7 ),,24.0,,,,,,,,,,boys,D2,laxmath,15.0,,,,,,,,15.0,4.0,42.0,,12.0,49.0,85.0,1 . 50 %
,UC San Diego ( 13 - 4 ),,5.0,,,,,,,,,,boys,D2,laxmath,16.0,,,,,,,,17.0,40.0,12.0,,4.0,9.0,18.0,1 . 50 %
,Coastal Carolina ( 8 - 4 ),,29.0,,,,,,,,,,boys,D2,laxmath,17.0,,,,,,,,18.0,30.0,25.0,,52.0,30.0,111.0,0 . 0 %
,Maine ( 6 - 3 ),,22.0,,,,,,,,,,boys,D2,laxmath,18.0,,,,,,,,31.0,43.0,18.0,,67.0,18.0,107.0,0 . 0 %
,Utah State ( 9 - 8 ),,15.0,,,,,,,,,,boys,D2,laxmath,19.0,,,,,,,,20.0,14.0,19.0,,37.0,15.0,67.0,0 . 0 %
,Western Washington ( 10 - 4 ),,16.0,,,,,,,,,,boys,D2,laxmath,20.0,,,,,,,,16.0,58.0,15.0,,48.0,12.0,76.0,0 . 0 %
,Baylor ( 11 - 5 ),,25.0,,,,,,,,,,boys,D2,laxmath,21.0,,,,,,,,24.0,52.0,16.0,,60.0,14.0,99.0,0 . 0 %
,Miami ( 5 - 6 ),,41.0,,,,,,,,,,boys,D2,laxmath,22.0,,,,,,,,23.0,18.0,35.0,,39.0,41.0,121.0,0 . 0 %
,North Dakota State ( 5 - 9 ),,23.0,,,,,,,,,,boys,D2,laxmath,23.0,,,,,,,,19.0,2.0,28.0,,11.0,35.0,69.0,0 . 0 %
,Northwest Nazarene ( 7 - 7 ),,20.0,,,,,,,,,,boys,D2,laxmath,24.0,,,,,,,,32.0,45.0,48.0,,15.0,36.0,71.0,0 . 0 %
,Appalachian State ( 3 - 5 ),,40.0,,,,,,,,,,boys,D2,laxmath,25.0,,,,,,,,35.0,19.0,44.0,,50.0,46.0,136.0,0 . 0 %
,Arizona Christian ( 4 - 2 ),,55.0,,,,,,,,,,boys,D2,laxmath,26.0,,,,,,,,73.0,77.0,34.0,,57.0,28.0,140.0,0 . 0 %
,Biola ( 1 - 10 ),,78.0,,,,,,,,,,boys,D2,laxmath,27.0,,,,,,,,80.0,76.0,77.0,,65.0,77.0,220.0,0 . 0 %
,Bridgewater State ( 4 - 10 ),,49.0,,,,,,,,,,boys,D2,laxmath,28.0,,,,,,,,45.0,28.0,61.0,,66.0,65.0,180.0,0 . 0 %
,Cal State Fullerton ( 0 - 14 ),,77.0,,,,,,,,,,boys,D2,laxmath,29.0,,,,,,,,79.0,70.0,81.0,,53.0,81.0,211.0,0 . 0 %
,Humboldt State ( 2 - 5 ),,61.0,,,,,,,,,,boys,D2,laxmath,30.0,,,,,,,,72.0,71.0,63.0,,34.0,62.0,157.0,0 . 0 %
,Cal State Long Beach ( 7 - 7 ),,50.0,,,,,,,,,,boys,D2,laxmath,31.0,,,,,,,,65.0,62.0,67.0,,30.0,63.0,143.0,0 . 0 %
,Central Conn. State ( 5 - 6 ),,68.0,,,,,,,,,,boys,D2,laxmath,32.0,,,,,,,,57.0,51.0,62.0,,70.0,64.0,202.0,0 . 0 %
,Central Washington ( 4 - 6 ),,46.0,,,,,,,,,,boys,D2,laxmath,33.0,,,,,,,,66.0,66.0,41.0,,59.0,42.0,147.0,0 . 0 %
,Charleston ( 0 - 5 ),,76.0,,,,,,,,,,boys,D2,laxmath,34.0,,,,,,,,74.0,25.0,64.0,,55.0,66.0,197.0,0 . 0 %
,Chico State ( 7 - 5 ),,33.0,,,,,,,,,,boys,D2,laxmath,35.0,,,,,,,,55.0,64.0,50.0,,45.0,40.0,118.0,0 . 0 %
,Citadel ( 3 - 6 ),,34.0,,,,,,,,,,boys,D2,laxmath,36.0,,,,,,,,28.0,15.0,46.0,,46.0,53.0,133.0,0 . 0 %
,Claremont ( 8 - 6 ),,27.0,,,,,,,,,,boys,D2,laxmath,37.0,,,,,,,,42.0,57.0,54.0,,21.0,47.0,95.0,0 . 0 %
,College of Idaho ( 6 - 7 ),,17.0,,,,,,,,,,boys,D2,laxmath,38.0,,,,,,,,21.0,33.0,37.0,,28.0,31.0,76.0,0 . 0 %
,Colorado Mines ( 4 - 7 ),,42.0,,,,,,,,,,boys,D2,laxmath,39.0,,,,,,,,48.0,20.0,59.0,,25.0,58.0,125.0,0 . 0 %
,Dallas Baptist ( 2 - 8 ),,71.0,,,,,,,,,,boys,D2,laxmath,40.0,,,,,,,,67.0,36.0,75.0,,63.0,76.0,210.0,0 . 0 %
,Davidson ( 3 - 3 ),,56.0,,,,,,,,,,boys,D2,laxmath,41.0,,,,,,,,33.0,48.0,38.0,,61.0,37.0,154.0,0 . 0 %
,Colorado Denver ( 2 - 8 ),,48.0,,,,,,,,,,boys,D2,laxmath,42.0,,,,,,,,49.0,26.0,51.0,,29.0,48.0,125.0,0 . 0 %
,Drury ( 1 - 8 ),,60.0,,,,,,,,,,boys,D2,laxmath,43.0,,,,,,,,46.0,13.0,68.0,,26.0,68.0,154.0,0 . 0 %
,East Texas Baptist ( 3 - 8 ),,67.0,,,,,,,,,,boys,D2,laxmath,44.0,,,,,,,,56.0,39.0,73.0,,44.0,75.0,186.0,0 . 0 %
,Elon ( 1 - 10 ),,59.0,,,,,,,,,,boys,D2,laxmath,45.0,,,,,,,,50.0,9.0,70.0,,27.0,72.0,158.0,0 . 0 %
,Florida Poly ( 0 - 0 ),,0.0,,,,,,,,,,boys,D2,laxmath,46.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0 . 0 %
,Fort Lewis ( 9 - 6 ),,62.0,,,,,,,,,,boys,D2,laxmath,47.0,,,,,,,,44.0,67.0,55.0,,76.0,54.0,192.0,0 . 0 %
,Georgia Southern ( 4 - 6 ),,30.0,,,,,,,,,,boys,D2,laxmath,48.0,,,,,,,,26.0,11.0,36.0,,49.0,43.0,122.0,0 . 0 %
,Houston ( 3 - 6 ),,44.0,,,,,,,,,,boys,D2,laxmath,49.0,,,,,,,,62.0,55.0,31.0,,8.0,32.0,84.0,0 . 0 %
,Idaho ( 3 - 6 ),,35.0,,,,,,,,,,boys,D2,laxmath,50.0,,,,,,,,59.0,59.0,47.0,,14.0,50.0,99.0,0 . 0 %
,Iona ( 0 - 0 ),,0.0,,,,,,,,,,boys,D2,laxmath,51.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0 . 0 %
,Loyola Marymount ( 6 - 7 ),,36.0,,,,,,,,,,boys,D2,laxmath,52.0,,,,,,,,58.0,49.0,56.0,,33.0,52.0,121.0,0 . 0 %
,MSU Denver ( 6 - 4 ),,21.0,,,,,,,,,,boys,D2,laxmath,53.0,,,,,,,,37.0,23.0,17.0,,23.0,24.0,68.0,0 . 0 %
,Multnomah ( 2 - 4 ),,64.0,,,,,,,,,,boys,D2,laxmath,54.0,,,,,,,,69.0,75.0,45.0,,74.0,44.0,182.0,0 . 0 %
,North Florida ( 3 - 7 ),,57.0,,,,,,,,,,boys,D2,laxmath,55.0,,,,,,,,30.0,24.0,52.0,,73.0,59.0,189.0,0 . 0 %
,North Texas ( 1 - 9 ),,75.0,,,,,,,,,,boys,D2,laxmath,56.0,,,,,,,,70.0,34.0,78.0,,56.0,79.0,210.0,0 . 0 %
,Northern Arizona ( 11 - 4 ),,26.0,,,,,,,,,,boys,D2,laxmath,57.0,,,,,,,,27.0,60.0,32.0,,47.0,19.0,92.0,0 . 0 %
,Pacific Lutheran ( 0 - 8 ),,72.0,,,,,,,,,,boys,D2,laxmath,58.0,,,,,,,,81.0,47.0,76.0,,32.0,73.0,177.0,0 . 0 %
,Point Loma Nazarene ( 2 - 6 ),,54.0,,,,,,,,,,boys,D2,laxmath,59.0,,,,,,,,76.0,61.0,65.0,,38.0,60.0,152.0,0 . 0 %
,Puget Sound ( 1 - 5 ),,74.0,,,,,,,,,,boys,D2,laxmath,60.0,,,,,,,,78.0,74.0,66.0,,68.0,67.0,209.0,0 . 0 %
,Rice ( 1 - 2 ),,39.0,,,,,,,,,,boys,D2,laxmath,61.0,,,,,,,,51.0,41.0,40.0,,5.0,39.0,83.0,0 . 0 %
,Saint Mary's ( 6 - 5 ),,38.0,,,,,,,,,,boys,D2,laxmath,62.0,,,,,,,,60.0,65.0,60.0,,43.0,57.0,138.0,0 . 0 %
,San Diego ( 9 - 4 ),,32.0,,,,,,,,,,boys,D2,laxmath,63.0,,,,,,,,43.0,69.0,29.0,,22.0,25.0,79.0,0 . 0 %
,San Jose State ( 5 - 7 ),,58.0,,,,,,,,,,boys,D2,laxmath,64.0,,,,,,,,63.0,73.0,71.0,,62.0,70.0,190.0,0 . 0 %
,Southern Conn. State ( 0 - 15 ),,73.0,,,,,,,,,,boys,D2,laxmath,65.0,,,,,,,,75.0,37.0,80.0,,41.0,80.0,194.0,0 . 0 %
,Southern Oregon ( 3 - 7 ),,66.0,,,,,,,,,,boys,D2,laxmath,66.0,,,,,,,,68.0,72.0,69.0,,64.0,69.0,199.0,0 . 0 %
,Southern Utah ( 4 - 6 ),,52.0,,,,,,,,,,boys,D2,laxmath,67.0,,,,,,,,61.0,54.0,49.0,,36.0,51.0,139.0,0 . 0 %
,St. John's ( 4 - 8 ),,47.0,,,,,,,,,,boys,D2,laxmath,68.0,,,,,,,,25.0,8.0,57.0,,40.0,61.0,148.0,0 . 0 %
,Stonehill ( 7 - 3 ),,28.0,,,,,,,,,,boys,D2,laxmath,69.0,,,,,,,,52.0,44.0,33.0,,75.0,33.0,136.0,0 . 0 %
,Texas A&M DII ( 5 - 8 ),,65.0,,,,,,,,,,boys,D2,laxmath,70.0,,,,,,,,47.0,42.0,74.0,,58.0,74.0,197.0,0 . 0 %
,Tulane ( 6 - 3 ),,31.0,,,,,,,,,,boys,D2,laxmath,71.0,,,,,,,,34.0,50.0,24.0,,71.0,26.0,128.0,0 . 0 %
,UC Davis ( 10 - 5 ),,18.0,,,,,,,,,,boys,D2,laxmath,72.0,,,,,,,,36.0,56.0,26.0,,35.0,27.0,80.0,0 . 0 %
,UC Irvine ( 2 - 12 ),,70.0,,,,,,,,,,boys,D2,laxmath,73.0,,,,,,,,77.0,63.0,79.0,,42.0,78.0,190.0,0 . 0 %
,UC Santa Cruz ( 3 - 6 ),,53.0,,,,,,,,,,boys,D2,laxmath,74.0,,,,,,,,64.0,68.0,58.0,,51.0,55.0,159.0,0 . 0 %
,UMass-Dartmouth ( 4 - 5 ),,63.0,,,,,,,,,,boys,D2,laxmath,75.0,,,,,,,,54.0,46.0,53.0,,13.0,56.0,132.0,0 . 0 %
,UNC-Wilmington ( 3 - 4 ),,51.0,,,,,,,,,,boys,D2,laxmath,76.0,,,,,,,,22.0,32.0,43.0,,69.0,45.0,165.0,0 . 0 %
,UNLV ( 0 - 0 ),,0.0,,,,,,,,,,boys,D2,laxmath,77.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0 . 0 %
,UT-San Antonio ( 8 - 5 ),,45.0,,,,,,,,,,boys,D2,laxmath,78.0,,,,,,,,53.0,53.0,39.0,,54.0,34.0,133.0,0 . 0 %
,Washington (Mo.) ( 3 - 4 ),,43.0,,,,,,,,,,boys,D2,laxmath,79.0,,,,,,,,29.0,31.0,30.0,,77.0,29.0,149.0,0 . 0 %
,Western Oregon ( 0 - 0 ),,0.0,,,,,,,,,,boys,D2,laxmath,80.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0 . 0 %
,Wyoming ( 0 - 10 ),,69.0,,,,,,,,,,boys,D2,laxmath,81.0,,,,,,,,71.0,27.0,72.0,,31.0,71.0,171.0,0 . 0 %
,Reinhardt ( 12 - 1 ),,2.0,,,,,,,,,,girls,,laxmath,,,,,,,,1.0,2.0,9.0,2.0,26 . 0 %,3.0,2.0,7.0,
,SCAD ( 10 - 5 ),,1.0,,,,,,,,,,girls,,laxmath,,,,,,,,2.0,1.0,21.0,6.0,25 . 0 %,1.0,7.0,9.0,
,Cumberlands ( 16 - 2 ),,3.0,,,,,,,,,,girls,,laxmath,,,,,,,,3.0,3.0,7.0,1.0,13 . 50 %,4.0,1.0,8.0,
,Lawrence Tech ( 12 - 1 ),,4.0,,,,,,,,,,girls,,laxmath,,,,,,,,4.0,4.0,11.0,3.0,9 . 50 %,19.0,3.0,26.0,
,Life ( 11 - 4 ),,10.0,,,,,,,,,,girls,,laxmath,,,,,,,,5.0,5.0,5.0,8.0,8 . 50 %,17.0,8.0,35.0,
,Missouri Baptist ( 13 - 2 ),,7.0,,,,,,,,,,girls,,laxmath,,,,,,,,6.0,6.0,15.0,4.0,3 . 50 %,23.0,4.0,34.0,
,Benedictine (KS) ( 11 - 3 ),,6.0,,,,,,,,,,girls,,laxmath,,,,,,,,7.0,8.0,17.0,9.0,3 . 0 %,5.0,6.0,17.0,
,Keiser ( 9 - 6 ),,5.0,,,,,,,,,,girls,,laxmath,,,,,,,,8.0,7.0,1.0,7.0,3 . 0 %,2.0,9.0,16.0,
,Ave Maria ( 7 - 5 ),,9.0,,,,,,,,,,girls,,laxmath,,,,,,,,9.0,9.0,6.0,12.0,2 . 50 %,7.0,12.0,28.0,
,Indiana Tech ( 12 - 3 ),,8.0,,,,,,,,,,girls,,laxmath,,,,,,,,10.0,10.0,13.0,5.0,2 . 0 %,11.0,5.0,24.0,
,Montreat ( 6 - 7 ),,21.0,,,,,,,,,,girls,,laxmath,,,,,,,,11.0,17.0,30.0,14.0,0 . 0 %,27.0,18.0,66.0,
,Bethel (IN) ( 8 - 7 ),,20.0,,,,,,,,,,girls,,laxmath,,,,,,,,12.0,13.0,31.0,22.0,0 . 0 %,31.0,24.0,75.0,
,Georgetown KY ( 5 - 11 ),,19.0,,,,,,,,,,girls,,laxmath,,,,,,,,13.0,16.0,2.0,30.0,0 . 0 %,6.0,32.0,57.0,
,Marian (IN) ( 8 - 5 ),,11.0,,,,,,,,,,girls,,laxmath,,,,,,,,14.0,11.0,4.0,10.0,0 . 0 %,9.0,10.0,30.0,
,Siena Heights ( 7 - 7 ),,18.0,,,,,,,,,,girls,,laxmath,,,,,,,,15.0,15.0,14.0,25.0,0 . 0 %,20.0,26.0,64.0,
,St Thomas (FL) ( 6 - 7 ),,17.0,,,,,,,,,,girls,,laxmath,,,,,,,,16.0,18.0,3.0,21.0,0 . 0 %,12.0,22.0,51.0,
,Aquinas ( 2 - 12 ),,27.0,,,,,,,,,,girls,,laxmath,,,,,,,,17.0,29.0,19.0,29.0,0 . 0 %,33.0,31.0,91.0,
,Clarke ( 0 - 1 ),,37.0,,,,,,,,,,girls,,laxmath,,,,,,,,18.0,40.0,37.0,23.0,0 . 0 %,35.0,23.0,95.0,
,Concordia-Ann Arbor ( 8 - 6 ),,15.0,,,,,,,,,,girls,,laxmath,,,,,,,,19.0,14.0,16.0,20.0,0 . 0 %,13.0,20.0,48.0,
,Corban ( 3 - 2 ),,35.0,,,,,,,,,,girls,,laxmath,,,,,,,,20.0,21.0,36.0,13.0,0 . 0 %,36.0,13.0,84.0,
,Culver-Stockton ( 6 - 6 ),,16.0,,,,,,,,,,girls,,laxmath,,,,,,,,21.0,27.0,26.0,26.0,0 . 0 %,26.0,25.0,67.0,
,Eastern Oregon ( 0 - 10 ),,36.0,,,,,,,,,,girls,,laxmath,,,,,,,,22.0,35.0,35.0,32.0,0 . 0 %,37.0,33.0,106.0,
,Madonna ( 1 - 13 ),,31.0,,,,,,,,,,girls,,laxmath,,,,,,,,23.0,34.0,27.0,34.0,0 . 0 %,30.0,37.0,98.0,
,Midland ( 2 - 9 ),,25.0,,,,,,,,,,girls,,laxmath,,,,,,,,24.0,31.0,18.0,38.0,0 . 0 %,22.0,35.0,82.0,
,Missouri Valley ( 2 - 7 ),,28.0,,,,,,,,,,girls,,laxmath,,,,,,,,25.0,37.0,32.0,31.0,0 . 0 %,25.0,29.0,82.0,
,Mount Mercy ( 0 - 8 ),,34.0,,,,,,,,,,girls,,laxmath,,,,,,,,26.0,41.0,33.0,39.0,0 . 0 %,16.0,34.0,84.0,
,Multnomah ( 0 - 0 ),,0.0,,,,,,,,,,girls,,laxmath,,,,,,,,27.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,New College ( 0 - 0 ),,0.0,,,,,,,,,,girls,,laxmath,,,,,,,,28.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Ottawa ( 6 - 7 ),,12.0,,,,,,,,,,girls,,laxmath,,,,,,,,29.0,20.0,10.0,24.0,0 . 0 %,8.0,21.0,41.0,
,Penn State-Schuylkill ( 0 - 0 ),,0.0,,,,,,,,,,girls,,laxmath,,,,,,,,30.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Rochester (MI) ( 0 - 10 ),,33.0,,,,,,,,,,girls,,laxmath,,,,,,,,31.0,38.0,20.0,36.0,0 . 0 %,15.0,38.0,86.0,
,St Ambrose ( 9 - 2 ),,14.0,,,,,,,,,,girls,,laxmath,,,,,,,,32.0,19.0,34.0,11.0,0 . 0 %,34.0,11.0,59.0,
,St Andrews ( 1 - 10 ),,30.0,,,,,,,,,,girls,,laxmath,,,,,,,,33.0,36.0,25.0,35.0,0 . 0 %,29.0,36.0,95.0,
,St Mary (KS) ( 1 - 10 ),,32.0,,,,,,,,,,girls,,laxmath,,,,,,,,34.0,39.0,24.0,41.0,0 . 0 %,18.0,39.0,89.0,
,Taylor ( 0 - 0 ),,0.0,,,,,,,,,,girls,,laxmath,,,,,,,,35.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Tennessee Wesleyan ( 3 - 11 ),,26.0,,,,,,,,,,girls,,laxmath,,,,,,,,36.0,30.0,12.0,37.0,0 . 0 %,21.0,40.0,87.0,
,Truett McConnell ( 2 - 11 ),,29.0,,,,,,,,,,girls,,laxmath,,,,,,,,37.0,32.0,22.0,40.0,0 . 0 %,24.0,41.0,94.0,
,UHSP ( 7 - 6 ),,23.0,,,,,,,,,,girls,,laxmath,,,,,,,,38.0,28.0,28.0,28.0,0 . 0 %,32.0,27.0,82.0,
,Warner ( 8 - 9 ),,24.0,,,,,,,,,,girls,,laxmath,,,,,,,,39.0,22.0,29.0,27.0,0 . 0 %,28.0,28.0,80.0,
